City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,8.41,92,97,13.89,TF,1741814947
1,blackmans bay,-43.0167,147.3167,14.74,96,52,0.89,AU,1741814947
2,albany,42.6001,-73.9662,4.73,33,100,1.34,US,1741814947
3,grytviken,-54.2811,-36.5092,0.35,83,42,4.71,GS,1741814947
4,waitangi,-43.9535,-176.5597,17.12,80,39,2.24,NZ,1741814948
5,georgetown,5.4112,100.3354,26.96,82,20,4.12,MY,1741814948
6,west island,-12.1568,96.8225,26.99,83,40,5.66,CC,1741814948
7,banff,51.1762,-115.5698,3.21,52,100,1.54,CA,1741814948
8,atafu village,-8.5421,-172.5159,28.34,76,36,6.18,TK,1741814948
9,uturoa,-16.7333,-151.4333,28.19,74,80,4.12,PF,1741814948
10,pangkalanbuun,-2.6833,111.6167,23.94,97,100,0.68,ID,1741814948
11,sur,22.5667,59.5289,26.45,38,0,1.59,OM,1741814948
12,isafjordur,66.0755,-23.124,-0.09,88,9,3.27,IS,1741814948
13,mount isa,-20.7333,139.5,23.87,83,16,1.54,AU,1741814949
14,margaret river,-33.95,115.0667,17.8,86,60,0.98,AU,1741814949
15,dickinson,29.4608,-95.0513,26.7,70,75,8.23,US,1741814949
16,edinburgh of the seven seas,-37.0676,-12.3116,17.44,91,100,5.8,SH,1741814949
17,puerto natales,-51.7236,-72.4875,16.25,51,75,2.06,CL,1741814949
18,ushuaia,-54.8,-68.3,11.81,66,40,2.06,AR,1741814949
19,myronivka,49.6601,30.9823,9.94,68,39,3.17,UA,1741814949
20,sinop,41.7711,34.8709,14.0,44,99,5.77,TR,1741814949
21,kodiak,57.79,-152.4072,2.73,70,0,1.54,US,1741814950
22,altania,-23.8744,-53.9017,21.97,87,100,3.3,BR,1741814950
23,punta arenas,-53.15,-70.9167,13.06,58,0,2.57,CL,1741814950
24,la ronge,55.1001,-105.2842,-10.86,52,20,5.14,CA,1741814950
25,cabo san lucas,22.8909,-109.9124,26.17,37,0,2.24,MX,1741814604
26,cadale,2.7603,46.3222,26.55,75,100,8.63,SO,1741814950
27,bethel,41.3712,-73.414,10.16,37,78,0.45,US,1741814950
28,wailua homesteads,22.0669,-159.378,25.44,73,75,8.23,US,1741814950
29,kiunga,-6.1219,141.2906,22.54,99,100,0.69,PG,1741814950
30,kolwezi,-10.7148,25.4667,15.74,96,97,1.0,CD,1741814950
31,maceio,-9.6658,-35.7353,28.69,61,20,3.6,BR,1741814951
32,thompson,55.7435,-97.8558,-11.91,40,40,3.6,CA,1741814951
33,hadibu,12.65,54.0333,24.49,78,50,1.22,YE,1741814951
34,mont-laurier,46.5501,-75.4993,-6.27,77,100,0.98,CA,1741814951
35,hamilton,39.1834,-84.5333,24.47,29,0,6.69,US,1741814951
36,northam,51.0333,-4.2167,6.56,70,14,2.24,GB,1741814951
37,yellowknife,62.456,-114.3525,-14.77,75,75,3.09,CA,1741814767
38,weno,7.4515,151.8468,27.97,78,100,4.63,FM,1741814951
39,st. john's,47.5649,-52.7093,2.86,72,40,10.29,CA,1741814840
40,cartagena del chaira,1.3349,-74.8429,29.91,62,42,1.36,CO,1741814952
41,hami,42.8,93.45,2.66,36,94,5.6,CN,1741814952
42,nova vicosa,-17.8919,-39.3719,26.64,73,0,4.46,BR,1741814952
43,ribeira grande,38.5167,-28.7,12.22,62,40,9.26,PT,1741814952
